nDimensions,nThreads,nPaths,result,relErrror,exacltSolution,eps,avgPath,avgNumSteps,compTime,initTime,finishTime,totalTime
5,8,1410065408,0.167067,inf,0,2.66306e-05,3.94631,64.6258,166.199,0.001038,0.000503,166.348
6,8,1410065408,0.151994,inf,0,2.66306e-05,4.67286,81.4962,208.127,0.001025,0.000501,208.278
7,8,1410065408,0.140938,inf,0,2.66306e-05,5.37942,98.3209,250.425,0.00104,0.000502,250.58
8,8,1410065408,0.132429,inf,0,2.66306e-05,6.06829,115.089,292.477,0.00104,0.000499,292.627
9,16,1410065408,0.125633,inf,0,2.66306e-05,6.73775,131.793,337.117,0.001006,0.0005,337.261
10,16,1410065408,0.12006,inf,0,2.66306e-05,7.39298,148.438,379.793,0.001005,0.000498,379.948
11,16,1410065408,0.11539,inf,0,2.66306e-05,8.03632,165.032,422.619,0.001032,0.000528,422.765
16,16,1410065408,0.0998556,inf,0,2.66306e-05,11.1116,247.334,634.844,0.001006,0.000496,634.997
32,32,1410065408,0.0795479,inf,0,2.66306e-05,19.9368,506.228,1349.93,0.001033,0.000499,1350.08
64,64,1410065408,0.0659127,inf,0,2.66306e-05,35.3421,1014.36,4967.59,0.001062,0.000511,4967.74
128,128,1410065408,0.0561965,inf,0,2.66306e-05,61.6722,2014.24,19543.1,0.001029,0.0005,19543.2
