run [pow 10]	solution val	
528	0.219622	
529	0.219607	
530	0.219549	
531	0.219844	
532	0.219825	
533	0.220019	
534	0.219929	
535	0.219917	
536	0.219865	
537	0.219859	
538	0.219798	
539	0.219979	
540	0.220076	
541	0.219979	
542	0.219954	
543	0.219949	
544	0.219861	
545	0.219932	
546	0.219973	
547	0.219878	
548	0.219977	
549	0.220002	
550	0.220024	
551	0.220117	
552	0.220244	
553	0.220234	
554	0.220172	
555	0.220127	
556	0.220196	
557	0.220156	
558	0.220158	
559	0.220119	
560	0.220043	
561	0.220031	
562	0.219962	
563	0.21991	
564	0.219844	
565	0.219912	
566	0.220211	
567	0.220405	
568	0.220407	
569	0.220337	
570	0.220347	
571	0.220385	
572	0.220403	
573	0.22033	
574	0.220262	
575	0.220177	
576	0.220199	
577	0.220341	
578	0.220539	
579	0.220601	
580	0.220557	
581	0.220583	
582	0.220496	
583	0.220535	
584	0.220544	
585	0.220546	
586	0.220562	
587	0.220586	
588	0.220546	
589	0.220583	
590	0.220624	
591	0.220573	
592	0.220538	
593	0.220477	
594	0.220422	
595	0.220512	
596	0.220559	
597	0.22054	
598	0.220494	
599	0.220414	
600	0.22037	
601	0.220299	
602	0.220382	
603	0.220451	
604	0.220523	
605	0.220527	
606	0.220463	
607	0.22038	
608	0.220315	
609	0.220387	
610	0.220374	
611	0.220474	
612	0.220466	
613	0.220583	
614	0.220522	
615	0.220486	
616	0.220539	
617	0.220482	
618	0.220467	
619	0.220384	
620	0.22033	
621	0.220387	
622	0.22032	
623	0.220241	
624	0.220226	
625	0.220329	
626	0.220293	
627	0.220239	
628	0.220167	
629	0.220225	
630	0.220315	
631	0.220285	
632	0.220364	
633	0.220395	
634	0.220583	
635	0.220621	
636	0.220569	
637	0.220643	
638	0.220815	
639	0.220761	
640	0.220696	
641	0.220628	
642	0.220575	
643	0.220525	
644	0.220622	
645	0.220561	
646	0.220514	
647	0.220443	
648	0.220562	
649	0.220531	
650	0.220633	
651	0.220816	
652	0.220794	
653	0.220821	
654	0.220783	
655	0.220953	
656	0.220942	
657	0.220886	
658	0.220842	
659	0.22078	
660	0.22095	
661	0.220888	
662	0.220851	
663	0.220803	
664	0.22081	
665	0.220738	
666	0.220724	
667	0.220668	
668	0.220605	
669	0.220693	
670	0.220775	
671	0.220781	
672	0.220706	
673	0.220675	
674	0.220718	
675	0.220778	
676	0.220789	
677	0.220805	
678	0.220828	
679	0.220778	
680	0.220816	
681	0.2208	
682	0.22077	
683	0.220697	
684	0.220625	
685	0.220605	
686	0.220582	
687	0.220507	
688	0.220575	
689	0.220606	
690	0.220644	
691	0.220646	
692	0.2209	
693	0.221034	
694	0.221053	
695	0.220988	
696	0.220977	
697	0.221019	
698	0.221006	
699	0.22113	
700	0.221139	
701	0.221153	
702	0.221123	
703	0.221205	
704	0.221151	
705	0.221234	
706	0.221344	
707	0.221394	
708	0.221328	
709	0.22127	
710	0.221345	
711	0.221324	
712	0.221372	
713	0.22132	
714	0.221308	
715	0.221364	
716	0.221343	
717	0.22128	
718	0.22125	
719	0.221333	
720	0.22147	
721	0.221487	
722	0.221429	
723	0.221463	
724	0.221402	
725	0.221536	
726	0.221645	
727	0.221591	
728	0.22158	
729	0.221518	
730	0.221564	
731	0.221683	
732	0.221613	
733	0.221555	
734	0.221521	
735	0.221495	
736	0.221457	
737	0.221384	
738	0.22141	
739	0.221385	
740	0.221413	
741	0.221364	
742	0.221466	
743	0.221396	
744	0.221328	
745	0.221439	
746	0.221448	
747	0.221443	
748	0.221479	
749	0.221444	
750	0.221423	
751	0.221461	
752	0.221485	
753	0.22157	
754	0.221568	
755	0.221567	
756	0.221517	
757	0.221645	
758	0.221634	
759	0.221613	
760	0.221638	
761	0.221642	
762	0.221704	
763	0.221755	
764	0.221888	
765	0.221867	
766	0.221811	
